,Unnamed: 0,Unnamed: 0.1,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Entertainment,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
74,74,74,ae820d82-866b-4335-b111-6ba957b85d74,44,Group,East York,43.70891356,-79.29826425,fulltime,59482.5,152,7,10,33,15,11,6,0,0,0,0,38729.92
154,154,154,2b3f163f-7f10-46e7-9cc5-5ca9170ac504,33,Group,East York,43.70205065,-79.3687396,fulltime,46633,144,6,14,18,12,9,0,0,0,0,0,47909.02
202,202,202,b4590d42-18fe-4cc4-8ca8-7add34a6d999,58,Group,East York,43.69389521,-79.30085396,fulltime,43090.5,149,6,7,27,26,9,6,0,0,0,0,24717.25
307,307,307,adf53142-b294-4ac8-abe8-17df4f7ac66b,20,Group,East York,43.70986335,-79.2986157,unemployed,0,112,0,13,0,0,0,0,0,0,0,0,44.11
474,474,474,de005f46-ad56-4ecb-8505-7b2b436fab23,91,Group,East York,43.70788009,-79.30284466,unemployed,27064.8,38,6,4,12,20,9,0,7,0,7,0,27558.94
507,507,507,6746a6ea-9f92-4fbc-8393-d168986a0c7f,62,Group,East York,43.69413901,-79.33783189,fulltime,46201.35,153,7,5,34,17,11,6,0,0,0,0,23337.95
513,513,513,c83b1e05-be1f-469e-83eb-acd434d3c997,27,Group,East York,43.70965181,-79.31011714,parttime,11582.01,153,6,147,19,23,8,1,14,0,7,0,6665.81
540,540,540,0072ba96-9320-40e2-8da9-15d8a1394839,58,Group,East York,43.70064895,-79.3068915,fulltime,46862.5,138,6,6,34,15,10,5,0,0,0,0,33140.24
661,661,661,d439221c-491f-4b6f-94e8-b2a412bf2a32,30,Group,East York,43.69505507,-79.29178476,parttime,15658.17,150,6,18,33,14,9,5,12,10,0,0,11136.35042
682,682,682,284e38c6-45fa-4ec7-a5c9-9d3ee329a4fc,53,Group,East York,43.70454215,-79.34038376,parttime,24214.4,148,7,5,25,13,8,5,0,7,0,0,16501.81
716,716,716,74a3e553-9a5d-4acc-bc1b-61f6d2c1d7eb,57,Group,East York,43.69314587,-79.34276083,fulltime,51762.65,143,4,6,24,23,8,0,0,0,0,0,54040.65
723,723,723,28437d7d-c802-4818-8549-45092c88deed,80,Group,East York,43.6846963,-79.35048034,unemployed,36353.8,149,5,10,35,12,9,0,6,0,7,0,18553.06
729,729,729,8c63a575-ac1f-43b6-a01e-424d6699d01d,33,Group,East York,43.68467796,-79.35409052,fulltime,56806,155,5,14,29,18,7,1,0,0,7,0,40225.07
763,763,763,99362aad-691c-48c7-abf2-82f44d50305a,59,Group,East York,43.71058873,-79.36331637,unemployed,0,116,0,6,0,0,0,0,0,6,0,0,2327.483356
834,834,834,38421407-f3d9-46e3-b614-4b1ddc5d5bd7,33,Group,East York,43.68844144,-79.32486245,fulltime,94365,149,6,15,33,22,10,5,0,0,0,0,85672.28
969,969,969,93787ab6-8879-421e-a0ee-13be67dd2c57,77,Group,East York,43.707491,-79.36268022,unemployed,14161.7,135,7,140,25,19,9,0,7,2,7,0,10862.77384
1002,1002,1002,bd338866-1d24-4b42-95c7-705f331cfb75,54,Group,East York,43.70254974,-79.31882759,parttime,33435.1,146,7,5,34,22,10,5,13,2,0,0,17586.06296
1134,1134,1134,ab8a2083-ede3-4e5e-afd1-1e7dd4304867,78,Group,East York,43.69157428,-79.31092119,unemployed,30338,143,7,5,33,15,11,5,7,2,0,0,17807.60103
1299,1299,1299,d68801ca-68f5-43db-a721-6ccf51827757,46,Group,East York,43.68987372,-79.32916316,parttime,26371.4,151,5,8,27,24,9,1,0,0,7,0,13145.34
1330,1330,1330,da7ed254-56ef-4656-8363-ae467ac2ae2e,55,Group,East York,43.69347036,-79.3248257,fulltime,71132.1,140,7,6,33,13,11,5,0,0,0,0,63177
1342,1342,1342,6f3f9824-d1a5-4413-85dc-5d47c4beeecb,71,Group,East York,43.68439955,-79.35547198,parttime,25122.75,146,7,5,28,17,9,5,0,2,0,0,13640.6336
1347,1347,1347,1050a5ad-bd40-43bc-81d2-fec12f26e619,59,Group,East York,43.69687167,-79.36812382,fulltime,247136.15,147,7,8,28,16,10,1,0,0,7,0,258329.68
1511,1511,1511,1c688fa1-50b3-46f2-b9c9-005486fbe9da,25,Group,East York,43.71058873,-79.36331637,parttime,9879.21,152,6,13,18,17,7,1,12,0,7,0,6497.76
1522,1522,1522,d426361a-8fca-4549-b9b4-aad26aeb4546,86,Group,East York,43.68797071,-79.34668812,unemployed,28725.2,146,6,134,35,23,12,0,7,0,7,0,14119.73
1527,1527,1527,84190b40-2fb3-48d3-ac8c-9572a28d0c2e,52,Group,East York,43.69941722,-79.32321171,unemployed,0,112,0,7,0,0,0,0,0,6,0,0,2618.167314
1585,1585,1585,cc9a5849-b4f9-4c2c-963e-ec5d1c531d2e,53,Group,East York,43.70560837,-79.37351364,parttime,34468.95,137,6,137,18,17,9,0,0,0,0,0,32800.51
1598,1598,1598,933ac89d-efba-488a-b592-24a266df212f,50,Group,East York,43.68913739,-79.35190226,fulltime,40988.2,151,6,15,18,12,7,0,0,0,0,0,40453.21
1640,1640,1640,87551e9a-9e30-44ad-940f-eb3b9b4d3e18,51,Group,East York,43.69424258,-79.34937788,fulltime,116191.4,147,8,140,35,12,12,5,0,0,0,0,102672.12
1667,1667,1667,c0a1379c-cf31-494f-b38d-ee20ecc88fee,34,Group,East York,43.70555309,-79.37404605,fulltime,34358,145,6,151,20,16,8,0,12,0,7,0,32356.75
1731,1731,1731,d1affb88-ae8d-424c-9e8c-48af89451d71,81,Group,East York,43.70495674,-79.35024183,unemployed,26196.8,142,7,4,19,15,9,0,6,0,0,0,24539.43
2131,2131,2131,a5d71652-4c11-4493-bf38-b1f20f6c0d5a,45,Group,East York,43.70064895,-79.3068915,unemployed,87364.2,146,7,10,39,15,11,0,0,0,7,0,75001.49
2138,2138,2138,7cb21555-b2d5-4236-b33d-1b7d408a0684,54,Group,East York,43.69535828,-79.37748613,fulltime,86706.55,146,8,8,29,17,10,5,12,0,0,0,71738.33
2149,2149,2149,2b940341-df57-43c4-9f95-3f96591b1a68,69,Group,East York,43.68662238,-79.35442114,fulltime,37200.1,143,4,7,27,23,10,5,0,0,0,0,18329.89
2317,2317,2317,7bc37cca-3584-4604-875e-bedcdf6f114f,30,Group,East York,43.70986335,-79.2986157,fulltime,25531.11,156,6,12,27,13,9,0,0,0,7,0,12633.1
2334,2334,2334,48f58cdd-e889-4ea9-9d72-8874ca41da67,27,Group,East York,43.70173831,-79.36205154,fulltime,36651.12,148,6,14,27,17,11,6,0,0,0,0,23335.91
2356,2356,2356,e0506699-f893-448a-89f5-554c79f1faa2,70,Group,East York,43.6958172,-79.32233296,fulltime,110084.1,143,8,9,35,20,11,5,0,0,0,0,103000.83
2562,2562,2562,bbb3d1b0-750f-4520-8279-d8363ae81b67,49,Group,East York,43.6941687,-79.32519698,fulltime,61484.5,141,7,10,33,24,11,5,13,0,0,0,44737.87
2577,2577,2577,12687458-74e7-4ca5-b699-8bfbb9a30c61,46,Group,East York,43.70017755,-79.31028419,parttime,27480.2,150,6,9,33,23,8,1,0,0,7,0,13760.48
2581,2581,2581,32f2aa4c-c769-4a65-9026-1b5d0e566c69,32,Group,East York,43.69915447,-79.29781003,fulltime,91038,152,7,14,34,14,11,0,14,0,7,0,77497.08
2649,2649,2649,0b8b8575-de8d-46ab-a288-2b3cd3da7a47,25,Group,East York,43.69647455,-79.31991237,fulltime,23156.43,155,6,11,34,19,9,0,0,0,7,0,11377.6
2779,2779,2779,a4b24492-0a80-4653-a019-9186e69659db,43,Group,East York,43.68826024,-79.31287249,fulltime,95810,142,6,9,34,16,10,5,13,0,0,0,83208.37
2842,2842,2842,f2dfa34f-62d0-4d3d-8ce7-10005c3c1842,35,Group,East York,43.70909536,-79.30901118,fulltime,96878,156,7,16,40,17,8,0,0,0,7,0,86278.01
2874,2874,2874,cadf8e8f-79d7-404c-8dde-94f24499c996,38,Group,East York,43.69659372,-79.32219527,fulltime,110492,145,7,136,36,15,13,1,0,0,7,0,97016.25
2896,2896,2896,d8ecfd14-36fc-404c-a4d6-413a93099cdc,25,Group,East York,43.69567318,-79.31310885,parttime,14363.25,150,5,12,27,17,10,5,0,6,0,0,9894.377481
2897,2897,2897,87a7070a-9a10-4c96-a00d-5daf7c302020,92,Group,East York,43.69461104,-79.30125029,unemployed,45946.6,31,6,125,31,17,10,0,18,0,7,0,57184.85
2984,2984,2984,13d59194-7a76-4c08-b3ce-fc373f6288c8,19,Group,East York,43.71418938,-79.37192899,unemployed,0,111,0,14,0,0,0,0,0,0,0,0,153.19
2997,2997,2997,befc5c2a-a8cb-4ae4-8202-99d8bcc007d2,49,Group,East York,43.68876388,-79.30978143,fulltime,56421.2,150,7,9,12,20,9,1,0,0,0,0,58796.62
3034,3034,3034,9c9d4ad3-93e1-4655-8b22-4c1104434594,38,Group,East York,43.69206483,-79.31374875,fulltime,93449,145,7,140,41,15,11,6,0,0,0,0,82468.39
3093,3093,3093,93d36c23-839e-443a-9d35-58677ff41c9b,26,Group,East York,43.70085492,-79.30886536,parttime,14695.56,150,7,13,33,16,8,5,0,6,0,0,10087.35099
3274,3274,3274,fcf56d92-1713-4f56-a797-1085e8e3bf4e,45,Group,East York,43.70765707,-79.30917314,fulltime,98588.6,151,7,11,27,17,9,5,0,0,0,0,94396.35
3325,3325,3325,ae0016d1-5419-4037-bc05-ccafc3aa3556,49,Group,East York,43.70224433,-79.36391007,fulltime,44617.1,144,5,12,40,14,7,5,0,0,0,0,31789.37
3406,3406,3406,1242780a-9856-4e61-8164-c0414ff9a23e,41,With Spouse,East York,43.69426415,-79.33893465,fulltime,59550.7,147,6,10,27,13,10,6,14,0,0,0,40281.26
3413,3413,3413,178b6a73-4041-49fe-ab92-811c4f96a780,38,With Spouse,East York,43.69056879,-79.30765306,fulltime,52125,147,6,21,6,12,8,1,0,0,7,0,40930.1
3418,3418,3418,7d36a997-2d81-4da8-9f8e-d090ac49c03e,62,With Spouse,East York,43.69623159,-79.36899117,fulltime,52245.25,142,7,7,6,16,12,0,12,0,0,0,52299.54
3428,3428,3428,bcc10a96-a3e6-471b-a78e-9163a698c820,33,With Spouse,East York,43.68934809,-79.35780109,fulltime,40381,146,7,21,0,17,8,0,0,0,7,0,27178.5
3441,3441,3441,b507282c-8c42-418e-9a84-71ccbda9fd7d,41,With Spouse,East York,43.68830901,-79.30896078,fulltime,36226.3,146,7,14,6,18,8,0,0,0,0,0,33808.92
3475,3475,3475,84f75f1c-f29c-46a0-8f7b-cb3ee46dd853,30,With Spouse,East York,43.68830901,-79.30896078,parttime,11139.81,156,7,18,6,28,7,1,0,0,7,0,7819.53
3518,3518,3518,d7fd319c-8543-4720-b506-3d821b89a8b9,57,With Spouse,East York,43.69167628,-79.31094124,fulltime,37265.75,140,5,7,0,17,9,0,12,0,7,0,27215.26
3523,3523,3523,05a9a20a-c790-470d-9737-95993bc2be73,63,With Spouse,East York,43.68940133,-79.3350341,parttime,15798.5,141,6,6,27,26,8,5,0,3,0,0,10248.09274
3524,3524,3524,e40cbf27-837c-4728-83fc-58d883c9cdfa,66,With Spouse,East York,43.70899984,-79.30822521,fulltime,50918.1,142,7,7,0,26,8,0,0,0,0,0,43115.63
3546,3546,3546,b5ec387a-07cf-4f75-ae26-c487716c6872,39,With Spouse,East York,43.69426415,-79.33893465,unemployed,0,110,0,9,0,0,0,0,0,6,0,0,2884.519571
3680,3680,3680,bbf1492f-9c76-4224-ad9b-8a3bd60e6477,35,With Spouse,East York,43.68394096,-79.34577311,fulltime,39260,152,7,22,33,15,11,0,0,0,0,0,31215.51
3698,3698,3698,ce1d4389-2c16-4a4b-8da9-fb0002c3976d,65,With Spouse,East York,43.68940133,-79.3350341,parttime,16603.15,139,5,7,6,14,8,1,0,1,0,0,9365.856519
3744,3744,3744,55c0b972-3b8d-4274-b042-f76be70041b0,31,With Spouse,East York,43.68934809,-79.35780109,parttime,12898.05,155,7,21,34,12,9,0,0,2,0,0,9107.576909
3799,3799,3799,a09c6418-2c24-42c7-90a3-29776cf8a0e3,39,With Spouse,East York,43.69056879,-79.30765306,fulltime,47101,144,7,16,33,26,10,1,13,0,0,0,40030.38
3831,3831,3831,e0281abc-4311-4f73-9bca-46adad92dff1,47,With Spouse,East York,43.69917295,-79.37138799,parttime,19943,145,7,6,7,28,10,0,0,0,7,0,18001.83
3876,3876,3876,e95b4deb-c2c6-4c68-8ea5-1d9dda04ab07,46,With Spouse,East York,43.6826943,-79.34809971,parttime,28070.9,139,7,146,34,15,7,6,12,0,0,0,17505.39
3887,3887,3887,edcd294c-7608-4b59-901c-266728fdaead,56,With Spouse,East York,43.70030293,-79.30318303,fulltime,55336.85,145,5,7,6,27,7,0,15,0,7,0,47659.17
3909,3909,3909,67afc1ed-6122-45de-9775-7d5b7a5abfa1,46,With Spouse,East York,43.69917295,-79.37138799,parttime,26363.7,148,7,8,6,11,10,0,10,0,0,0,26469.12
