,Unnamed: 0,Unnamed: 0.1,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Entertainment,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
14,14,14,7240ec73-795e-4181-8ad8-d16461b0e946,24,Group,Scarborough,43.80205988,-79.14501241,parttime,18188.61,147,6,14,34,14,8,0,0,0,7,0,8895.25
27,27,27,f2577e82-68b5-447d-babe-80adad8cc344,50,Group,Scarborough,43.79857406,-79.30512678,fulltime,68995.3,148,5,136,32,24,10,0,0,0,7,0,71661.14
43,43,43,0c400962-1f52-4210-a77d-d195e1810886,40,Group,Scarborough,43.75260084,-79.19826513,fulltime,110778,148,7,10,27,11,12,6,0,0,0,0,98337.1
55,55,55,61c02283-2817-46fc-b511-e3e4e9fa6082,55,Group,Scarborough,43.81292955,-79.23329593,fulltime,38896.45,139,7,6,40,18,9,5,0,0,0,0,26609.15
75,75,75,39719984-6e53-46b9-b7bb-a2be47e909b2,23,Group,Scarborough,43.80998698,-79.26505899,parttime,8922.54,145,7,12,27,18,10,5,0,6,0,0,7001.262847
81,81,81,cb8ee12a-50c9-4a85-a95a-0a62aadc5bf5,57,Group,Scarborough,43.81554581,-79.1989964,fulltime,50939.25,141,6,7,33,18,9,0,13,0,7,0,32292.56
90,90,90,a4e510d5-0bfb-424e-adda-f47ced75843d,43,Group,Scarborough,43.79613672,-79.14180966,fulltime,60238.2,141,7,10,34,22,11,5,0,0,0,0,42121.74
98,98,98,733dfa56-4166-4c19-abf4-88d262bc6f3d,30,Group,Scarborough,43.81065496,-79.32161551,parttime,19186.86,151,6,14,27,19,8,6,0,5,0,0,12677.36508
102,102,102,2618bf65-2d57-4371-b6da-49832db779d8,55,Group,Scarborough,43.77403213,-79.25800983,fulltime,64679.45,147,5,7,39,18,10,5,0,0,0,0,50720.43
103,103,103,32944576-bf48-4861-b09a-6027139f7c52,73,Group,Scarborough,43.81915287,-79.28226899,unemployed,61219.9,146,7,6,33,13,8,5,13,0,0,0,45571.89
105,105,105,d7812942-3eb3-4a64-832a-108a6e4affb0,34,Group,Scarborough,43.77968455,-79.15145538,fulltime,135173,147,8,16,33,26,12,1,0,0,7,0,130620.62
119,119,119,794543fb-86a9-402e-8541-72f00f6e7835,65,Group,Scarborough,43.80072748,-79.27817021,fulltime,35281.1,141,6,12,26,25,9,1,13,0,0,0,32307.04
128,128,128,e0a7aaaa-6b20-4c9e-94ed-7e5f463e723d,28,Group,Scarborough,43.7400481,-79.27395877,parttime,11911.68,151,7,151,41,22,8,5,13,6,0,0,10720.09786
132,132,132,2512c951-880b-4f39-9501-141f36cd1508,91,Group,Scarborough,43.71107565,-79.27059519,unemployed,31814.3,39,6,4,27,23,9,5,21,3,0,0,29307.74
149,149,149,4693ba1b-2f9e-4d27-a98f-b0fec112c835,53,Group,Scarborough,43.81089319,-79.23238892,unemployed,30000,104,0,6,0,0,0,0,0,6,0,0,1814.416352
163,163,163,efe6212b-068d-4c97-8a53-e07bc729fb53,30,Group,Scarborough,43.77626173,-79.3209627,parttime,12696.42,155,7,11,26,17,9,5,12,10,0,0,8375.528564
164,164,164,96d8fe32-1565-43cb-8cf1-74c111da18d7,36,Group,Scarborough,43.6931118,-79.27745747,fulltime,44551,145,6,11,12,19,8,0,0,0,7,0,45966.98
170,170,170,8c63c8af-ae19-442d-b5e0-d9a0d02c225d,66,Group,Scarborough,43.71176351,-79.26143376,parttime,27523.4,136,7,6,33,26,9,6,0,3,0,0,15005.24677
174,174,174,e70bdae2-492d-4048-b50c-ebb3ec84c363,33,Group,Scarborough,43.75067432,-79.24484193,fulltime,67650,149,7,12,33,17,9,0,0,0,7,0,53384.52
183,183,183,e6360b28-43e4-4cb5-8ddb-dca79e0334b3,63,Group,Scarborough,43.81849801,-79.28262707,fulltime,39244.5,144,5,8,28,25,10,5,12,0,0,0,23134.04
188,188,188,25e2e969-b804-4447-8eaf-0fe49a7d49c1,51,Group,Scarborough,43.809121,-79.20671817,fulltime,42147.5,141,5,132,42,23,7,5,0,0,0,0,22587.17
190,190,190,35707bdc-157f-4993-be94-daa77cee9921,24,Group,Scarborough,43.79183572,-79.28960686,parttime,9560.43,150,5,14,40,14,8,0,0,6,7,0,7633.532026
191,191,191,1e917f76-166d-41dc-a066-251f6b98fe83,39,Group,Scarborough,43.78293933,-79.29957063,fulltime,61805,145,6,7,19,21,10,0,0,0,7,0,66109.34
199,199,199,54484ecc-3457-4e77-828b-83b8c527e6de,57,Group,Scarborough,43.79148974,-79.18042292,fulltime,65798.4,142,6,8,39,20,12,5,14,0,0,0,49636.48
206,206,206,9b39a492-1330-4b05-9436-14a11677a928,21,Group,Scarborough,43.80423318,-79.26041938,parttime,9492.78,140,7,12,35,25,9,0,0,0,7,0,3906.59
213,213,213,e8c74963-dde9-41bf-ae73-97c6b3a521b1,57,Group,Scarborough,43.8262895,-79.28785676,parttime,28911,152,7,138,25,23,10,0,14,0,7,0,26598.17
223,223,223,4b4c93e5-be2b-4c15-9322-21bcf743a44e,31,Group,Scarborough,43.81495438,-79.26999443,parttime,17488.02,150,7,12,39,18,9,0,0,2,7,0,10313.769
234,234,234,90b750af-ae41-4d09-be3c-44b33558921d,24,Group,Scarborough,43.790984,-79.18177163,parttime,16216.53,144,7,14,27,27,8,6,0,5,0,0,10441.99725
254,254,254,48296cda-809c-427f-8e61-3da08f347ca8,27,Group,Scarborough,43.72990391,-79.25505747,unemployed,30000,117,0,14,0,0,0,0,0,6,0,0,1680.445753
267,267,267,d5fef520-a2a4-440a-832b-25479551f938,60,Group,Scarborough,43.7619235,-79.22865175,parttime,29291.65,141,6,145,34,18,7,6,12,2,0,0,16323.79723
287,287,287,f7358214-09d9-44cd-9fbf-dfb2541b5af1,29,Group,Scarborough,43.80832305,-79.27236726,unemployed,30000,119,0,15,0,0,0,0,0,6,0,0,1729.186523
290,290,290,883af24d-ce6d-478a-99a8-3926aa3dcd2c,59,Group,Scarborough,43.80519445,-79.25990054,parttime,34809.35,146,6,6,34,18,9,1,13,0,7,0,17285.43
298,298,298,6c684572-1de8-45e5-9d8b-e1062294bff2,59,Group,Scarborough,43.78277476,-79.1795529,fulltime,72749,145,8,142,40,28,13,6,0,0,0,0,59368.66
300,300,300,2536e045-ba47-4d79-85ca-5e42dfc49a5b,68,Group,Scarborough,43.70159983,-79.27444773,fulltime,37662.75,141,7,7,33,18,9,5,0,2,0,0,19845.53097
301,301,301,fda21277-9555-4b12-bcc0-af6626a12719,76,Group,Scarborough,43.78502653,-79.32096428,unemployed,21631.4,149,7,7,28,21,8,5,0,5,0,0,13937.58934
304,304,304,1535855f-c2eb-4687-bbd6-7f87dbd393f7,57,Group,Scarborough,43.73937013,-79.21533439,fulltime,66666.65,143,5,8,25,20,11,0,0,0,7,0,71860.54
311,311,311,706da30f-6edb-4593-acbe-6db065922191,55,Group,Scarborough,43.75523891,-79.17987322,fulltime,64670.25,145,8,6,27,19,13,0,0,0,7,0,47289.58
326,326,326,bba40c5a-1e43-4d22-bd23-d7c86ae7c083,58,Group,Scarborough,43.77254002,-79.3199735,fulltime,37015.05,151,7,13,34,28,9,0,0,0,7,0,18452.04
327,327,327,541a85f7-f7b6-434f-a258-f1be3024fb5b,23,Group,Scarborough,43.77553387,-79.20958532,parttime,14165.25,152,7,13,39,25,8,5,0,5,0,0,9599.918995
340,340,340,37ad2345-33b0-4775-b755-3f545e455fc1,33,Group,Scarborough,43.82627225,-79.28619925,fulltime,53510,155,6,13,39,17,9,5,11,0,0,0,36236.05
350,350,350,9343b913-7cd0-4ebd-8086-a602535f3dbb,31,Group,Scarborough,43.81950897,-79.32106903,fulltime,20296.98,145,6,137,34,14,8,1,0,2,7,0,11867.09185
362,362,362,cf0facbd-4e05-44d2-a77f-44dd34675a56,30,Group,Scarborough,43.78353126,-79.13778705,unemployed,37632.87,145,7,148,39,19,7,1,0,0,7,0,3635.63
369,369,369,26b0a036-6b80-4389-9e9a-5655a5ccd7b7,58,Group,Scarborough,43.79285903,-79.29809508,fulltime,64151.6,136,7,13,34,16,10,5,0,0,0,0,47908.67
376,376,376,baac54a1-7e43-4440-b52a-e7ef8d837b31,32,Group,Scarborough,43.77558314,-79.30330859,fulltime,73029,153,6,13,41,21,7,0,0,0,7,0,58050.97
378,378,378,35ae54fd-5976-4179-9199-4b2bb303904b,65,Group,Scarborough,43.81918678,-79.28131298,fulltime,56904.05,142,6,137,40,21,8,6,0,0,0,0,39797.92
390,390,390,8674bf21-cd4b-4cbc-bb47-ad8279350295,95,Group,Scarborough,43.7333204,-79.22239246,unemployed,37013.9,33,6,0,28,16,10,5,7,1,0,0,37987.22
409,409,409,b2309938-0b60-4cf9-8ba1-7b6571d05ad6,44,Group,Scarborough,43.7592989,-79.23096246,parttime,34020.8,144,7,8,18,13,8,1,0,0,7,0,34051.65
434,434,434,2d700c28-5f77-4205-b756-e33a1098c4a3,23,Group,Scarborough,43.76554497,-79.22710237,parttime,9052.89,135,7,12,12,13,8,1,12,0,7,0,6397.9
436,436,436,ce5f3dcc-44d6-4b84-97db-b3d0993fc307,48,Group,Scarborough,43.80120932,-79.21576106,fulltime,37053.5,151,5,141,41,16,9,5,13,1,0,0,19833.63173
441,441,441,db184044-c843-4ae7-a7d4-1fee3291e4f5,24,Group,Scarborough,43.69652675,-79.28620441,parttime,5489.88,154,4,13,39,22,7,5,0,13,0,0,5633.162699
454,454,454,1f5bfeb3-e2f2-47f0-b0e5-4474be9c3bc1,19,Group,Scarborough,43.78303168,-79.1283689,unemployed,30000,121,0,14,0,0,0,0,0,0,0,0,44.7
461,461,461,3af76f43-1cbd-4d17-b21d-8fc4c09842cc,26,Group,Scarborough,43.81692041,-79.28574417,parttime,8357.91,149,6,13,33,20,8,1,13,6,7,0,7734.440386
