,Unnamed: 0,Unnamed: 0.1,id,age,habitationStatus,addresses/principalResidence/municipality,addresses/principalResidence/latitude,addresses/principalResidence/longitude,workActivity,totalIncome,Food and Dining,Entertainment,Shopping,Bills and Utilities,Auto and Transport,Home,Taxes,Health and Fitness,Fees and Charges,Mortgage and Rent,Travel,spending
8,8,8,4657e91c-a90c-46f6-9e8b-e7e9322aa41c,57,Group,Toronto,43.67919255,-79.46325337,fulltime,42712.15,143,6,12,39,18,9,5,0,0,0,0,23335.82
17,17,17,c8f99b7e-7c72-4ece-bbad-3db63cbccdfb,42,Group,Toronto,43.67031647,-79.48207725,fulltime,71309.7,145,7,8,27,23,11,0,0,0,7,0,56350.72
25,25,25,d51555d5-d637-47d6-9a09-b17580eefaa6,60,Group,Toronto,43.67958214,-79.30500862,fulltime,93365.05,139,7,7,33,16,9,5,0,0,0,0,85275.37
33,33,33,571f570b-a8d3-450b-9dd0-e7da884de151,75,Group,Toronto,43.6729855,-79.3304014,unemployed,37412.9,147,6,142,25,22,10,0,0,0,7,0,35816.96
39,39,39,bc378f13-95fd-4e93-a292-5521489270dd,64,Group,Toronto,43.66649934,-79.34135406,fulltime,41941.55,146,6,7,34,9,10,6,0,0,0,0,23568.22
48,48,48,78d86aaf-a3f2-44d4-8f27-10b4bc99700e,53,Group,Toronto,43.63446278,-79.42701875,fulltime,37887.9,144,6,135,41,16,9,6,0,2,0,0,20296.35906
49,49,49,78804f23-65ff-485f-8299-4899f6f003fe,41,Group,Toronto,43.70099298,-79.41949962,fulltime,88398,145,8,8,28,14,10,5,0,0,0,0,72576.57
51,51,51,eccc8f97-5987-4c3d-ba64-c39b63e083ab,46,Group,Toronto,43.65676203,-79.42574702,fulltime,63245.6,141,5,10,39,14,10,5,0,0,0,0,53023.6
53,53,53,351cd71e-9875-4585-99eb-963aa9c2bc8a,44,Group,Toronto,43.67176036,-79.38592999,fulltime,119205.9,149,7,18,25,14,10,1,0,0,7,0,128725
56,56,56,0e10b2e8-77be-4edb-968d-c320fa81e2fe,55,Group,Toronto,43.67547654,-79.43014312,fulltime,146833.15,149,7,8,12,13,11,0,0,0,0,0,162877.46
78,78,78,f24ab317-f23c-4f69-aa2c-d9d936f65068,27,Group,Toronto,43.70257671,-79.4383003,fulltime,24971.1,151,7,14,26,13,8,5,12,7,0,0,19487.55
